P0030;ВАЗ(М74CAN);Нагреватель датчика кислорода до нейтрализатора; обрыв цепи управления
P0031;ВАЗ(М74CAN);Нагреватель датчика кислорода до нейтрализатора; замыкание цепи управления на массу
P0032;ВАЗ(М74CAN);Нагреватель датчика кислорода до нейтрализатора; замыкание цепи управления на борт. сеть
P0036;ВАЗ(М74CAN);Нагреватель датчика кислорода после нейтрализатора; обрыв цепи управления
P0037;ВАЗ(М74CAN);Нагреватель датчика кислорода после нейтрализатора; замыкание цепи управления на массу
P0038;ВАЗ(М74CAN);Нагреватель датчика кислорода после нейтрализатора; замыкание цепи управления на борт. сеть
P0101;ВАЗ(М74CAN);Цепь датчика массового расхода воздуха; выход сигнала из допустимого диапазона
P0102;ВАЗ(М74CAN);Цепь датчика массового расхода воздуха; низкий уровень сигнала
P0103;ВАЗ(М74CAN);Цепь датчика массового расхода воздуха; высокий уровень сигнала
P0106;ВАЗ(М74CAN);Цепь датчика давления воздуха на впуске; выход сигнала из допустимого диапазона
P0107;ВАЗ(М74CAN);Цепь датчика давления воздуха на впуске; низкий уровень сигнала
P0108;ВАЗ(М74CAN);Цепь датчика давления воздуха на впуске; высокий уровень сигнала
P0111;ВАЗ(М74CAN);Цепь датчика температуры впускного воздуха; выход сигнала из допустимого диапазона
P0112;ВАЗ(М74CAN);Цепь датчика температуры впускного воздуха; низкий уровень сигнала
P0113;ВАЗ(М74CAN);Цепь датчика температуры впускного воздуха; высокий уровень сигнала
P0116;ВАЗ(М74CAN);Цепь датчика температуры охлаждающей жидкости; выход сигнала из допустимого диапазона
P0117;ВАЗ(М74CAN);Цепь датчика температуры охлаждающей жидкости; низкий уровень сигнала
P0118;ВАЗ(М74CAN);Цепь датчика температуры охлаждающей жидкости; высокий уровень сигнала
P0120;ВАЗ(М74CAN);Цепь датчика A положения дроссельной заслонки; цепь неисправна
P0121;ВАЗ(М74CAN);Цепь датчика A положения дроссельной заслонки; выход сигнала из допустимого диапазона
P0122;ВАЗ(М74CAN);Цепь датчика A положения дроссельной заслонки; низкий уровень сигнала
P0123;ВАЗ(М74CAN);Цепь датчика A положения дроссельной заслонки; высокий уровень сигнала
P0127;ВАЗ(М74CAN);Температура впускного воздуха; превышение допустимого предела
P0128;ВАЗ(М74CAN);Термостат охлаждающей жидкости; неисправность
P0130;ВАЗ(М74CAN);Датчик кислорода до нейтрализатора; неисправен
P0131;ВАЗ(М74CAN);Цепь датчика кислорода до нейтрализатора; низкий уровень сигнала
P0132;ВАЗ(М74CAN);Цепь датчика кислорода до нейтрализатора; высокий уровень сигнала
P0133;ВАЗ(М74CAN);Цепь датчика кислорода до нейтрализатора; медленный отклик на изменение состава смеси
P0134;ВАЗ(М74CAN);Цепь датчика кислорода до нейтрализатора; нет изменения сигнала
P0135;ВАЗ(М74CAN);Нагреватель датчика кислорода до нейтрализатора; неисправен
P0136;ВАЗ(М74CAN);Датчик кислорода после нейтрализатора; неисправен
P0137;ВАЗ(М74CAN);Цепь датчика кислорода после нейтрализатора; низкий уровень сигнала
P0138;ВАЗ(М74CAN);Цепь датчика кислорода после нейтрализатора; высокий уровень сигнала
P0139;ВАЗ(М74CAN);Цепь датчика кислорода после нейтрализатора; медленный отклик на изменение состава смеси
P0140;ВАЗ(М74CAN);Цепь датчика кислорода после нейтрализатора; нет изменения сигнала
P0141;ВАЗ(М74CAN);Нагреватель датчика кислорода после нейтрализатора; неисправен
P0171;ВАЗ(М74CAN);Система топливоподачи; слишком бедная смесь
P0172;ВАЗ(М74CAN);Система топливоподачи; слишком богатая смесь
P0201;ВАЗ(М74CAN);Форсунка цилиндра 1; обрыв цепи управления
P0202;ВАЗ(М74CAN);Форсунка цилиндра 2; обрыв цепи управления
P0203;ВАЗ(М74CAN);Форсунка цилиндра 3; обрыв цепи управления
P0204;ВАЗ(М74CAN);Форсунка цилиндра 4; обрыв цепи управления
P0217;ВАЗ(М74CAN);Температура двигателя; превышен порог допустимой температуры
P0219;ВАЗ(М74CAN);Обороты двигателя; превышен порог допустимых оборотов
P0220;ВАЗ(М74CAN);Цепь датчика B положения дроссельной заслонки; цепь неисправна
P0221;ВАЗ(М74CAN);Цепь датчика B положения дроссельной заслонки; выход сигнала из допустимого диапазона
P0222;ВАЗ(М74CAN);Цепь датчика B положения дроссельной заслонки; низкий уровень сигнала
P0223;ВАЗ(М74CAN);Цепь датчика B положения дроссельной заслонки; высокий уровень сигнала
P0261;ВАЗ(М74CAN);Форсунка цилиндра 1; замыкание цепи управления на массу
P0262;ВАЗ(М74CAN);Форсунка цилиндра 1; замыкание цепи управления на бортовую сеть
P0264;ВАЗ(М74CAN);Форсунка цилиндра 2; замыкание цепи управления на массу
P0265;ВАЗ(М74CAN);Форсунка цилиндра 2; замыкание цепи управления на бортовую сеть
P0267;ВАЗ(М74CAN);Форсунка цилиндра 3; замыкание цепи управления на массу
